timestamp,counter,servo_1_sent,servo_1_read,servo_2_sent,servo_2_read,servo_5_sent,servo_5_read,servo_8_sent,servo_8_read,servo_11_sent,servo_11_read,servo_14_sent,servo_14_read,servo_0_sent,servo_0_read,servo_16_sent,servo_16_read,servo_17_sent,servo_17_read,servo_20_sent,servo_20_read,servo_23_sent,servo_23_read,servo_26_sent,servo_26_read,servo_29_sent,servo_29_read,servo_15_sent,servo_15_read
1756403348.14681,240,0,30473,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403348.40492,245,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403348.64987,250,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403348.90161,255,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403349.14341,260,39321,5515,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403349.37638,265,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403349.60603,270,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403349.8391,275,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403350.07468,280,0,36153,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403350.31257,285,0,2566,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403350.55744,290,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403350.79757,295,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403351.03565,300,39321,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403351.28378,305,39321,30200,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403351.52326,310,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403351.77207,315,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403352.02382,320,0,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403352.28316,325,0,3604,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403352.52095,330,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403352.78883,335,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403353.04021,340,39321,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403353.30685,345,39321,33259,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403353.56272,350,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403353.81878,355,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403354.05663,360,0,36208,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403354.30822,365,0,983,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403354.57391,370,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403354.81856,375,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403355.06899,380,39321,1092,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403355.32516,385,39321,35935,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403355.5644,390,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403355.80221,395,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403356.04768,400,0,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403356.28627,405,0,6225,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403356.53557,410,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403356.78102,415,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
